sample_name,T_original,robustness_score,fails_first_at_condition,fails_first_at_severity
test/04July_2010_Sunday_tagesschau-7205,76,40,tail_trunc,50
test/04July_2010_Sunday_tagesschau-7206,101,50,none,none
test/29September_2011_Thursday_tagesschau-7236,61,30,head_contam,40
test/24January_2013_Thursday_heute-7259,148,50,none,none
test/24January_2013_Thursday_heute-7266,102,50,none,none
test/26April_2010_Monday_tagesschau-7272,156,0,tail_trunc,10
test/24June_2010_Thursday_tagesschau-7300,88,50,none,none
test/27November_2009_Friday_tagesschau-7340,56,0,head_trunc,10
test/27November_2009_Friday_tagesschau-7341,88,20,head_trunc,30
test/27November_2009_Friday_tagesschau-7342,58,0,head_trunc,10
test/06February_2010_Saturday_tagesschau-7362,122,0,head_contam,10
test/06February_2010_Saturday_tagesschau-7363,24,0,head_trunc,10
test/06February_2010_Saturday_tagesschau-7365,72,50,none,none
test/27June_2010_Sunday_tagesschau-7392,159,40,tail_contam,50
test/04January_2010_Monday_heute-7395,48,50,none,none
test/29July_2010_Thursday_tagesschau-7420,56,50,none,none
test/29July_2010_Thursday_tagesschau-7421,93,40,head_trunc,50
test/15February_2011_Tuesday_tagesschau-7473,44,0,head_trunc,10
test/15February_2011_Tuesday_tagesschau-7474,84,30,head_trunc,40
test/28May_2010_Friday_tagesschau-7501,119,50,none,none
test/13July_2009_Monday_tagesschau-7507,67,20,tail_trunc,30
test/13July_2009_Monday_tagesschau-7508,153,0,tail_trunc,10
test/13July_2009_Monday_tagesschau-7509,99,0,head_trunc,10
test/13July_2009_Monday_tagesschau-7510,132,20,tail_contam,30
test/23September_2009_Wednesday_tagesschau-7589,104,40,head_trunc,50
test/23September_2009_Wednesday_tagesschau-7590,42,50,none,none
test/14March_2011_Monday_tagesschau-7600,35,20,tail_trunc,30
test/03June_2011_Friday_tagesschau-7644,103,40,head_trunc,50
test/03October_2012_Wednesday_tagesschau-7654,105,50,none,none
test/25November_2009_Wednesday_tagesschau-7666,101,50,none,none
test/25November_2009_Wednesday_tagesschau-7668,98,20,head_contam,30
test/25November_2009_Wednesday_tagesschau-7677,55,20,head_trunc,30
test/25November_2009_Wednesday_tagesschau-7678,32,30,head_trunc,40
test/12April_2010_Monday_heute-7690,169,40,tail_contam,50
test/15October_2009_Thursday_tagesschau-7715,72,0,head_trunc,10
test/06January_2010_Wednesday_tagesschau-7728,93,0,head_trunc,10
test/06January_2010_Wednesday_tagesschau-7736,57,0,head_contam,10
test/06January_2010_Wednesday_tagesschau-7737,32,10,head_trunc,20
test/04December_2011_Sunday_tagesschau-7791,101,40,tail_trunc,50
test/04December_2011_Sunday_tagesschau-7792,57,30,head_trunc,40
test/25January_2013_Friday_tagesschau-7811,109,50,none,none
test/23January_2011_Sunday_tagesschau-7823,124,40,tail_contam,50
test/26May_2010_Wednesday_heute-7863,55,50,none,none
test/20February_2010_Saturday_tagesschau-7899,110,50,none,none
test/15February_2011_Tuesday_heute-7911,144,40,head_trunc,50
test/10December_2009_Thursday_heute-7943,98,50,none,none
test/10December_2009_Thursday_heute-7944,32,50,none,none
test/10December_2009_Thursday_heute-7945,212,0,head_trunc,10
test/13July_2011_Wednesday_tagesschau-7978,111,0,head_trunc,10
test/28January_2013_Monday_heute-7998,158,50,none,none
test/11January_2011_Tuesday_tagesschau-8017,106,50,none,none
test/11January_2011_Tuesday_tagesschau-8021,167,40,tail_trunc,50
test/11January_2011_Tuesday_tagesschau-8032,74,40,head_contam,50
test/11November_2009_Wednesday_tagesschau-8041,67,20,head_contam,30
test/11November_2009_Wednesday_tagesschau-8042,85,40,tail_trunc,50
test/07April_2011_Thursday_tagesschau-8101,87,30,head_contam,40
test/29March_2011_Tuesday_tagesschau-8108,98,50,none,none
test/27May_2011_Friday_tagesschau-8129,106,50,none,none
test/16June_2010_Wednesday_tagesschau-8148,123,20,tail_contam,30
test/16June_2010_Wednesday_tagesschau-8149,17,0,head_trunc,10
test/20October_2010_Wednesday_tagesschau-8210,101,40,head_trunc,50
test/20October_2010_Wednesday_tagesschau-8214,77,50,none,none
test/14September_2010_Tuesday_heute-8237,103,0,head_trunc,10
test/14September_2010_Tuesday_heute-8238,173,0,head_trunc,10
test/14September_2010_Tuesday_heute-8239,106,10,head_trunc,20
test/09June_2010_Wednesday_heute-8259,61,0,head_trunc,10
test/09June_2010_Wednesday_heute-8260,85,20,head_trunc,30
test/12December_2011_Monday_tagesschau-8269,122,0,tail_trunc,10
test/19October_2010_Tuesday_tagesschau-8289,183,40,tail_trunc,50
test/19October_2010_Tuesday_tagesschau-8290,60,0,head_trunc,10
test/19October_2010_Tuesday_tagesschau-8291,52,0,tail_contam,10
test/24November_2011_Thursday_tagesschau-8341,108,10,head_trunc,20
test/24November_2011_Thursday_tagesschau-8342,95,30,tail_contam,40
test/28September_2010_Tuesday_heute-8343,25,50,none,none
test/28September_2010_Tuesday_heute-8344,148,50,none,none
test/28September_2010_Tuesday_heute-8355,113,40,tail_trunc,50
test/27May_2010_Thursday_tagesschau-8382,153,30,tail_contam,40
test/29March_2010_Monday_tagesschau-8387,58,40,head_contam,50
test/29March_2010_Monday_tagesschau-8388,57,30,head_trunc,40
test/29March_2010_Monday_tagesschau-8389,26,40,head_contam,50
test/03September_2010_Friday_tagesschau-8428,131,50,none,none
test/03September_2010_Friday_tagesschau-8429,89,40,head_contam,50
test/13August_2009_Thursday_tagesschau-8491,157,40,head_trunc,50
test/13August_2009_Thursday_tagesschau-8492,74,40,head_trunc,50
test/25August_2010_Wednesday_tagesschau-8507,127,20,head_contam,30
test/25August_2010_Wednesday_tagesschau-8508,121,50,none,none
test/25August_2010_Wednesday_tagesschau-8509,98,50,none,none
test/25August_2010_Wednesday_tagesschau-8516,107,40,head_trunc,50
test/04January_2010_Monday_tagesschau-8544,94,50,none,none
test/04January_2010_Monday_tagesschau-8550,96,50,none,none
test/04January_2010_Monday_tagesschau-8551,37,50,none,none
test/04January_2010_Monday_tagesschau-8552,100,50,none,none
test/07October_2010_Thursday_heute-8568,176,30,tail_trunc,40
test/30July_2011_Saturday_tagesschau-8595,98,40,head_trunc,50
test/13November_2009_Friday_tagesschau-8607,130,30,head_trunc,40
test/13November_2009_Friday_tagesschau-8608,61,50,none,none
test/29April_2010_Thursday_heute-8626,62,20,head_trunc,30
test/29April_2010_Thursday_heute-8627,73,20,head_contam,30
test/11April_2010_Sunday_tagesschau-8632,95,50,none,none
test/11December_2010_Saturday_tagesschau-8661,113,30,head_trunc,40
test/11December_2010_Saturday_tagesschau-8669,95,30,head_trunc,40
test/05July_2010_Monday_heute-8688,116,50,none,none
test/05July_2010_Monday_heute-8689,73,40,head_trunc,50
test/24January_2010_Sunday_tagesschau-8703,117,50,none,none
test/06October_2012_Saturday_tagesschau-8742,94,40,head_trunc,50
test/06October_2012_Saturday_tagesschau-8743,71,10,head_trunc,20
test/11February_2010_Thursday_tagesschau-8761,110,30,tail_contam,40
test/11September_2009_Friday_tagesschau-8771,98,50,none,none
test/11September_2009_Friday_tagesschau-8772,67,50,none,none
test/11September_2009_Friday_tagesschau-8773,56,10,head_trunc,20
test/11September_2009_Friday_tagesschau-8780,62,50,none,none
test/11September_2009_Friday_tagesschau-8781,108,50,none,none
test/11September_2009_Friday_tagesschau-8782,79,20,head_trunc,30
test/01July_2010_Thursday_tagesschau-8797,111,10,tail_trunc,20
test/21August_2010_Saturday_tagesschau-8822,124,30,tail_contam,40
