sample_name,T_original,robustness_score,fails_first_at_condition,fails_first_at_severity
test/08February_2010_Monday_tagesschau-2797,148,10,head_contam,20
test/04March_2011_Friday_tagesschau-2838,198,40,head_trunc,50
test/02October_2012_Tuesday_tagesschau-2847,120,40,head_trunc,50
test/02July_2009_Thursday_tagesschau-2860,135,0,head_contam,10
test/22July_2009_Wednesday_tagesschau-2873,161,30,tail_contam,40
test/28January_2010_Thursday_heute-2882,54,50,none,none
test/28January_2010_Thursday_heute-2883,87,10,head_contam,20
test/24October_2010_Sunday_tagesschau-2908,178,50,none,none
test/24October_2010_Sunday_tagesschau-2909,149,10,head_contam,20
test/24October_2010_Sunday_tagesschau-2910,48,40,head_trunc,50
test/05February_2010_Friday_tagesschau-2916,87,50,none,none
test/05February_2010_Friday_tagesschau-2924,121,10,head_trunc,20
test/20September_2010_Monday_heute-2929,34,0,tail_contam,10
test/20September_2010_Monday_heute-2930,87,10,head_trunc,20
test/29September_2012_Saturday_tagesschau-2963,135,50,none,none
test/25January_2011_Tuesday_tagesschau-2993,229,40,head_trunc,50
test/24August_2010_Tuesday_heute-3006,35,50,none,none
test/24August_2010_Tuesday_heute-3007,106,0,head_trunc,10
test/24August_2010_Tuesday_heute-3010,123,30,head_trunc,40
test/07October_2012_Sunday_tagesschau-3032,57,50,none,none
test/07October_2012_Sunday_tagesschau-3033,111,50,none,none
test/31January_2011_Monday_heute-3053,27,10,tail_contam,20
test/20April_2011_Wednesday_tagesschau-3086,122,50,none,none
test/16November_2009_Monday_tagesschau-3105,93,20,tail_contam,30
test/16November_2009_Monday_tagesschau-3106,26,50,none,none
test/21April_2010_Wednesday_heute-3108,34,50,none,none
test/21April_2010_Wednesday_heute-3109,43,0,head_trunc,10
test/24May_2010_Monday_tagesschau-3139,113,50,none,none
test/26August_2009_Wednesday_tagesschau-3213,109,50,none,none
test/26August_2009_Wednesday_tagesschau-3226,91,50,none,none
test/26August_2009_Wednesday_tagesschau-3227,88,20,head_trunc,30
test/14August_2011_Sunday_tagesschau-3230,77,30,head_trunc,40
test/14August_2011_Sunday_tagesschau-3232,120,50,none,none
test/22February_2010_Monday_tagesschau-3246,138,40,head_trunc,50
test/22February_2010_Monday_tagesschau-3247,43,0,head_trunc,10
test/22September_2010_Wednesday_tagesschau-3258,184,30,head_trunc,40
test/27August_2009_Thursday_tagesschau-3267,88,50,none,none
test/27August_2009_Thursday_tagesschau-3268,63,10,head_contam,20
test/27August_2009_Thursday_tagesschau-3269,120,0,head_trunc,10
test/15March_2011_Tuesday_tagesschau-3322,89,30,head_trunc,40
test/15March_2011_Tuesday_tagesschau-3325,141,20,head_trunc,30
test/15March_2011_Tuesday_tagesschau-3326,71,30,head_trunc,40
test/05May_2010_Wednesday_tagesschau-3348,155,30,head_trunc,40
test/05May_2010_Wednesday_tagesschau-3352,132,40,head_trunc,50
test/05May_2010_Wednesday_tagesschau-3353,146,10,head_contam,20
test/05May_2010_Wednesday_tagesschau-3359,31,0,tail_trunc,10
test/05May_2010_Wednesday_tagesschau-3360,134,50,none,none
test/18May_2010_Tuesday_heute-3366,219,50,none,none
test/01April_2011_Friday_tagesschau-3374,96,50,none,none
test/01April_2011_Friday_tagesschau-3377,171,20,tail_contam,30
test/01April_2011_Friday_tagesschau-3387,79,50,none,none
test/01April_2011_Friday_tagesschau-3388,75,50,none,none
test/17September_2010_Friday_tagesschau-3412,106,20,head_contam,30
test/17September_2010_Friday_tagesschau-3413,47,10,head_trunc,20
test/23September_2010_Thursday_tagesschau-3448,162,20,head_trunc,30
test/01December_2011_Thursday_tagesschau-3473,192,50,none,none
test/25September_2010_Saturday_tagesschau-3489,186,30,head_trunc,40
test/11December_2009_Friday_tagesschau-3504,105,50,none,none
test/11November_2010_Thursday_tagesschau-3564,103,0,head_contam,10
test/11November_2010_Thursday_tagesschau-3565,88,20,tail_trunc,30
test/28January_2013_Monday_tagesschau-3624,200,50,none,none
test/02December_2010_Thursday_tagesschau-3631,129,10,head_contam,20
test/22April_2010_Thursday_tagesschau-3736,97,50,none,none
test/22April_2010_Thursday_tagesschau-3738,147,30,head_trunc,40
test/05May_2011_Thursday_heute-3747,67,0,head_contam,10
test/19November_2009_Thursday_tagesschau-3781,83,50,none,none
test/19September_2010_Sunday_tagesschau-3802,196,40,head_trunc,50
test/14April_2010_Wednesday_tagesschau-3809,184,0,head_trunc,10
test/14February_2010_Sunday_tagesschau-3834,121,0,tail_trunc,10
test/25June_2010_Friday_tagesschau-3877,130,50,none,none
test/25June_2010_Friday_tagesschau-3879,179,40,head_trunc,50
test/25June_2010_Friday_tagesschau-3880,50,20,tail_trunc,30
test/25June_2010_Friday_tagesschau-3881,107,20,head_contam,30
test/25June_2010_Friday_tagesschau-3882,147,50,none,none
test/17June_2010_Thursday_tagesschau-3903,94,50,none,none
test/05June_2010_Saturday_tagesschau-3925,61,10,head_trunc,20
test/05June_2010_Saturday_tagesschau-3926,33,20,head_trunc,30
test/05June_2010_Saturday_tagesschau-3932,138,50,none,none
test/24March_2011_Thursday_tagesschau-3937,123,50,none,none
test/24March_2011_Thursday_tagesschau-3938,56,20,tail_contam,30
test/08April_2010_Thursday_tagesschau-3950,87,10,head_contam,20
test/08April_2010_Thursday_tagesschau-3957,150,20,head_trunc,30
test/08April_2010_Thursday_tagesschau-3961,79,50,none,none
test/24April_2010_Saturday_tagesschau-3967,129,50,none,none
test/24April_2010_Saturday_tagesschau-3971,81,10,head_contam,20
test/08January_2010_Friday_tagesschau-3981,217,50,none,none
test/04May_2011_Wednesday_heute-3991,113,0,head_trunc,10
test/04May_2011_Wednesday_heute-3995,108,10,tail_trunc,20
test/18January_2010_Monday_tagesschau-4023,96,50,none,none
test/02December_2009_Wednesday_tagesschau-4039,92,50,none,none
test/02December_2009_Wednesday_tagesschau-4045,142,50,none,none
test/15July_2010_Thursday_tagesschau-4056,103,30,tail_contam,40
test/05September_2009_Saturday_tagesschau-4085,37,50,none,none
test/19February_2010_Friday_tagesschau-4093,143,0,head_trunc,10
test/21October_2011_Friday_tagesschau-4103,115,0,head_contam,10
test/21October_2011_Friday_tagesschau-4104,172,0,tail_trunc,10
test/07October_2010_Thursday_tagesschau-4117,97,50,none,none
test/07October_2010_Thursday_tagesschau-4121,106,40,head_trunc,50
test/07October_2010_Thursday_tagesschau-4122,133,50,none,none
test/07October_2010_Thursday_tagesschau-4127,139,50,none,none
test/07October_2010_Thursday_tagesschau-4129,97,20,tail_trunc,30
test/07December_2010_Tuesday_tagesschau-4155,99,40,tail_trunc,50
test/08December_2009_Tuesday_heute-4198,48,50,none,none
test/08December_2009_Tuesday_heute-4199,48,0,tail_trunc,10
test/24October_2009_Saturday_tagesschau-4286,53,50,none,none
test/24October_2009_Saturday_tagesschau-4287,45,0,tail_trunc,10
test/24October_2009_Saturday_tagesschau-4289,93,50,none,none
test/01April_2010_Thursday_tagesschau-4329,56,50,none,none
test/01April_2010_Thursday_tagesschau-4330,82,50,none,none
test/01April_2010_Thursday_tagesschau-4331,88,40,head_trunc,50
test/01April_2010_Thursday_tagesschau-4332,64,10,head_trunc,20
test/23May_2010_Sunday_tagesschau-4337,118,40,tail_contam,50
test/11August_2009_Tuesday_tagesschau-4354,56,0,head_trunc,10
test/11August_2009_Tuesday_tagesschau-4355,129,50,none,none
test/11August_2009_Tuesday_tagesschau-4356,95,50,none,none
test/25November_2011_Friday_tagesschau-4398,113,50,none,none
test/25November_2011_Friday_tagesschau-4399,149,50,none,none
test/12August_2010_Thursday_tagesschau-4403,139,0,head_trunc,10
test/24May_2011_Tuesday_tagesschau-4468,147,20,tail_trunc,30
test/24May_2011_Tuesday_tagesschau-4477,146,20,tail_contam,30
test/29June_2011_Wednesday_tagesschau-4490,41,50,none,none
test/09February_2010_Tuesday_tagesschau-4504,86,20,head_trunc,30
test/18February_2010_Thursday_tagesschau-4531,54,40,tail_trunc,50
test/18February_2010_Thursday_tagesschau-4532,51,40,head_trunc,50
test/18February_2010_Thursday_tagesschau-4533,56,50,none,none
test/28October_2009_Wednesday_tagesschau-4535,104,50,none,none
test/28October_2009_Wednesday_tagesschau-4537,127,40,head_trunc,50
test/28October_2009_Wednesday_tagesschau-4539,107,40,tail_trunc,50
test/28October_2009_Wednesday_tagesschau-4540,77,50,none,none
test/28October_2009_Wednesday_tagesschau-4543,79,0,tail_trunc,10
test/28October_2009_Wednesday_tagesschau-4544,104,50,none,none
test/04April_2010_Sunday_tagesschau-4574,125,40,tail_trunc,50
test/13September_2010_Monday_tagesschau-4592,104,50,none,none
test/22November_2011_Tuesday_heute-4646,122,0,head_trunc,10
test/07February_2011_Monday_heute-4658,34,10,head_contam,20
test/28September_2009_Monday_tagesschau-4681,22,20,tail_trunc,30
test/28September_2009_Monday_tagesschau-4682,103,30,head_trunc,40
test/19March_2011_Saturday_tagesschau-4686,157,0,head_trunc,10
test/02March_2011_Wednesday_tagesschau-4702,95,50,none,none
test/04October_2010_Monday_tagesschau-4722,97,30,tail_trunc,40
test/04October_2010_Monday_tagesschau-4723,94,50,none,none
test/12December_2009_Saturday_tagesschau-4728,157,20,head_trunc,30
test/24February_2011_Thursday_tagesschau-4771,104,50,none,none
test/04December_2010_Saturday_tagesschau-4834,123,50,none,none
test/21January_2011_Friday_tagesschau-4889,127,40,head_trunc,50
test/21November_2009_Saturday_tagesschau-4907,80,30,tail_contam,40
test/21November_2009_Saturday_tagesschau-4908,92,40,tail_contam,50
test/28February_2011_Monday_tagesschau-4988,39,50,none,none
test/01June_2010_Tuesday_tagesschau-5008,44,30,tail_trunc,40
test/01June_2010_Tuesday_tagesschau-5009,242,50,none,none
test/29August_2009_Saturday_tagesschau-5018,90,0,head_contam,10
test/29August_2009_Saturday_tagesschau-5019,53,10,tail_contam,20
test/29August_2009_Saturday_tagesschau-5020,61,50,none,none
test/01September_2010_Wednesday_tagesschau-5039,112,40,head_trunc,50
test/16July_2009_Thursday_tagesschau-5052,164,40,head_trunc,50
test/21May_2010_Friday_tagesschau-5092,127,20,head_contam,30
test/21May_2010_Friday_tagesschau-5094,114,50,none,none
test/21May_2010_Friday_tagesschau-5096,111,30,head_trunc,40
test/21May_2010_Friday_tagesschau-5097,38,40,head_trunc,50
test/17July_2009_Friday_tagesschau-5101,102,30,head_trunc,40
test/17July_2009_Friday_tagesschau-5104,113,0,head_trunc,10
test/17July_2009_Friday_tagesschau-5105,105,50,none,none
