compound_type,head_sev,tail_sev,bleu4,drop_from_clean,single_head_bleu4,single_tail_bleu4,predicted_additive_drop,interaction_term,rouge_l,meteor,ter,bertscore_f1
head_contam_tail_trunc,10,50,14.4,14.47,25.71,15.24,16.79,-2.32,36.97,31.95,75.07,40.29
head_contam_tail_trunc,20,10,21.05,7.82,22.19,27.48,8.07,-0.25,46.14,46.69,77.62,49.68
head_contam_tail_trunc,20,20,19.17,9.7,22.19,24.2,11.35,-1.65,43.55,42.67,78.72,47.09
head_contam_tail_trunc,20,30,17.6,11.27,22.19,20.73,14.82,-3.55,41.03,38.82,78.78,43.97
head_contam_tail_trunc,20,40,15.6,13.27,22.19,17.65,17.9,-4.63,37.59,34.25,79.76,40.49
head_contam_tail_trunc,20,50,13.26,15.61,22.19,15.24,20.31,-4.7,34.62,30.42,80.69,37.46
head_contam_tail_trunc,30,10,18.41,10.46,19.5,27.48,10.76,-0.3,43.08,44.8,86.46,46.58
head_contam_tail_trunc,30,20,16.91,11.96,19.5,24.2,14.04,-2.08,40.71,41.25,87.43,44.11
head_contam_tail_trunc,30,30,14.99,13.88,19.5,20.73,17.51,-3.63,37.9,37.26,88.12,40.76
head_contam_tail_trunc,30,40,13.46,15.41,19.5,17.65,20.59,-5.18,34.67,32.6,87.02,37.05
head_contam_tail_trunc,30,50,11.49,17.38,19.5,15.24,23.0,-5.62,31.62,28.86,87.51,34.02
head_contam_tail_trunc,40,10,16.73,12.14,17.43,27.48,12.83,-0.69,40.59,44.1,94.22,44.52
head_contam_tail_trunc,40,20,14.32,14.55,17.43,24.2,16.11,-1.56,37.37,39.64,95.09,41.0
head_contam_tail_trunc,40,30,13.3,15.57,17.43,20.73,19.58,-4.01,35.55,36.3,94.15,38.43
head_contam_tail_trunc,40,40,11.52,17.35,17.43,17.65,22.66,-5.31,32.34,31.37,93.84,34.88
head_contam_tail_trunc,40,50,9.39,19.48,17.43,15.24,25.07,-5.59,28.81,26.95,93.67,30.75
head_contam_tail_trunc,50,10,14.93,13.94,16.29,27.48,13.97,-0.03,38.27,43.03,102.39,42.43
head_contam_tail_trunc,50,20,13.26,15.61,16.29,24.2,17.25,-1.64,35.9,39.18,102.25,39.27
head_contam_tail_trunc,50,30,11.75,17.12,16.29,20.73,20.72,-3.6,33.22,34.05,100.24,36.15
head_contam_tail_trunc,50,40,10.9,17.97,16.29,17.65,23.8,-5.83,31.12,30.87,99.43,33.43
head_contam_tail_trunc,50,50,8.44,20.43,16.29,15.24,26.21,-5.78,27.6,26.25,98.66,29.76
head_contam_tail_contam,10,10,23.6,5.27,25.71,25.96,6.07,-0.8,49.35,49.95,73.01,53.93
head_contam_tail_contam,10,20,20.96,7.91,25.71,22.94,9.09,-1.18,46.81,48.42,81.4,51.13
head_contam_tail_contam,10,30,18.55,10.32,25.71,20.17,11.86,-1.54,44.18,46.99,89.84,48.69
head_contam_tail_contam,10,40,16.38,12.49,25.71,17.03,15.0,-2.51,40.45,44.39,99.86,44.84
