misalignment_type,head_severity,tail_severity,bleu4,bleu4_drop,rouge_l,meteor,ter,bertscore_f1
head_contam_tail_trunc,20,20,19.17,-33.6%,43.55,42.67,78.72,47.09
head_contam_tail_trunc,20,30,17.6,-39.0%,41.03,38.82,78.78,43.97
head_contam_tail_trunc,20,40,15.6,-46.0%,37.59,34.25,79.76,40.49
head_contam_tail_trunc,20,50,13.26,-54.1%,34.62,30.42,80.69,37.46
head_contam_tail_trunc,30,10,18.41,-36.2%,43.08,44.8,86.46,46.58
head_contam_tail_trunc,30,20,16.91,-41.4%,40.71,41.25,87.43,44.11
head_contam_tail_trunc,30,30,14.99,-48.1%,37.9,37.26,88.12,40.76
head_contam_tail_trunc,30,40,13.46,-53.4%,34.67,32.6,87.02,37.05
head_contam_tail_trunc,30,50,11.49,-60.2%,31.62,28.86,87.51,34.02
head_contam_tail_trunc,40,10,16.73,-42.1%,40.59,44.1,94.22,44.52
head_contam_tail_trunc,40,20,14.32,-50.4%,37.37,39.64,95.09,41.0
head_contam_tail_trunc,40,30,13.3,-53.9%,35.55,36.3,94.15,38.43
head_contam_tail_trunc,40,40,11.52,-60.1%,32.34,31.37,93.84,34.88
head_contam_tail_trunc,40,50,9.39,-67.5%,28.81,26.95,93.67,30.75
head_contam_tail_trunc,50,10,14.93,-48.3%,38.27,43.03,102.39,42.43
head_contam_tail_trunc,50,20,13.26,-54.1%,35.9,39.18,102.25,39.27
head_contam_tail_trunc,50,30,11.75,-59.3%,33.22,34.05,100.24,36.15
head_contam_tail_trunc,50,40,10.9,-62.2%,31.12,30.87,99.43,33.43
head_contam_tail_trunc,50,50,8.44,-70.8%,27.6,26.25,98.66,29.76
head_contam_tail_contam,10,10,23.6,-18.3%,49.35,49.95,73.01,53.93
head_contam_tail_contam,10,20,20.96,-27.4%,46.81,48.42,81.4,51.13
head_contam_tail_contam,10,30,18.55,-35.7%,44.18,46.99,89.84,48.69
head_contam_tail_contam,10,40,16.38,-43.3%,40.45,44.39,99.86,44.84
head_contam_tail_contam,10,50,14.37,-50.2%,37.35,41.36,107.53,41.3
head_contam_tail_contam,20,10,20.28,-29.8%,45.8,47.73,82.49,50.0
head_contam_tail_contam,20,20,18.02,-37.6%,43.36,45.78,90.51,47.77
head_contam_tail_contam,20,30,16.13,-44.1%,41.08,44.82,99.29,45.71
